Texto breve de material;Lote;Libre utilización;Valor libre util.;Restantes; Precio Unitario ;;;
7032624 - MESA ESQUINERA IRIS 50X58 OFF WHITE;780003539;50; $ 5.716.783 ;50; $ 114.335,66 ;;;
7027127 - MESA ESQUINERA LILO 35X48 NEGRA;780003374;6; $ 493.594 ;6; $ 82.265,67 ;;;
7027125 - MESA ESQUINERA LILO 35X53 NEGRA;780003374;7; $ 583.354 ;7; $ 83.336,29 ;;;
7024017 - MESA ESQUINERA LIZZI BRONCE/CHAMPAÑA;770076294;5; $ 905.933 ;5; $ 181.186,60 ;;;
7024017 - MESA ESQUINERA LIZZI BRONCE/CHAMPAÑA;770077040;2; $ 362.373 ;2; $ 181.186,50 ;;;
7024017 - MESA ESQUINERA LIZZI BRONCE/CHAMPAÑA;770077309;1; $ 181.187 ;1; $ 181.187,00 ;;;
7027784 - MESA ESQUINERA MADEIRA 50X55CM NAT/NEG;780003378;7; $ 1.134.323 ;7; $ 162.046,14 ;;;
7027784 - MESA ESQUINERA MADEIRA 50X55CM NAT/NEG;780003539;5; $ 810.230 ;5; $ 162.046,00 ;;;
7025357 - MESA ESQUINERA MADEIRA 50X55CM NATURAL;780003275;6; $ 994.287 ;6; $ 165.714,50 ;;;
7025357 - MESA ESQUINERA MADEIRA 50X55CM NATURAL;780003539;2; $ 331.429 ;2; $ 165.714,50 ;;;
7032058 - MESA ESQUINERA MADEIRA 50X55CM OFFWH;780003378;8; $ 1.085.572 ;8; $ 135.696,50 ;;;
7032058 - MESA ESQUINERA MADEIRA 50X55CM OFFWH;780003539;6; $ 814.179 ;6; $ 135.696,50 ;;;
7028942 - MESA ESQUINERA QUINA MARMOLADO 50X50;780003281;21; $ 4.863.918 ;21; $ 231.615,14 ;;;
7032176 - MESA TV FLORA 241X57X47 OFFWHITE;780003558;1; $ 501.751 ;1; $ 501.751,00 ;;;
7032631 - MODULO AUXILIAR DINA OFFWHITE/NATURAL;770089693;1; $ 487.395 ;1; $ 487.395,00 ;;;
7031828 - MUEBLE TV FLOTANTE PORTO 136 NAT/OFFW;780003466;1; $ 153.578 ;1; $ 153.578,00 ;;;
7031821 - MUEBLE TV FLOTANTE PORTO 183 NAT/OFFWHI;780003375;1; $ 204.091 ;1; $ 204.091,00 ;;;
7004888 - NOCHERO ALFA BLANCO;770071927;1; $ 304.773 ;1; $ 304.773,00 ;;;
7018155 - NOCHERO BROADWAY NATURAL;780002700;1; $ 97.538 ;1; $ 97.538,00 ;;;
7035295 - NOCHERO INFANTIL ANDRY ROSA/NATURAL;780003540;1; $ 143.475 ;1; $ 143.475,00 ;;;
7025572 - OBSEQ CAMA 1.00 AURORA LINO GRIS;770085342;1; $ 507.700 ;1; $ 507.700,00 ;;;
